name,smi,success
2OV,O=P(O)(O)OC1C(OCc2ccccc2)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OCc2ccccc2)C1OP(=O)(O)O,1
2OW,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,1
2P9,O=C(O)c1cc(-c2ccc(CNC(=S)c3ccc(-c4ccc(C(=O)O)o4)cc3Cl)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,1
2PE,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
2S6,N#Cc1ccc(OCCCN2CCC(C(O)(c3ccccc3)C3CCCC3)CC2)cc1,1
2SJ,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,1
2T9,COc1ccc([N+](=O)[O-])cc1Cn1cc(CC(=O)O)c2ccc(-c3cc(N)cc(N)c3)cc21,1
2TA,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
2TU,O=c1ccn(C2OC(CO)C(O)C2O)c(=S)[nH]1,1
2TX,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC1OC1(C)C,1
2VD,O=C(Cn1c2c(c3cc(Br)ccc31)CCC(C(=O)O)C2)NC(Cc1ccccc1)C(=O)O,1
2VE,O=C(O)CNC(=O)Cn1c2c(c3cc(Br)ccc31)CCC(C(=O)O)C2,1
2VK,N#Cc1ccc(OCCCN2CCC(C(O)(c3ccccc3)C3CCCC3)CC2)cc1,1
2VM,O=C(Cn1c2c(c3cc(Br)ccc31)CCC(C(=O)O)C2)NC(Cc1ccccc1)C(=O)O,1
2VP,CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2ccc(C)cc21,1
2VR,CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2cccc(C)c21,1
2VY,Cc1ncc(Cc2csc(C=O)c2C)c(N)n1,1
2VZ,CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2cc(C)ccc21,1
2W0,CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2c(C)cccc21,1
2W2,[H]/N=C(/N)NCCCC(NC(CCC(=O)O)C(=O)O)C(=O)O,1
2WN,O=S(=O)(F)Oc1ccc(-c2nnc(-c3cc(Cl)c(O)c(Cl)c3)o2)cc1,1
2WU,CNc1nc2cc3c(=O)[nH]c(N)nc3cc2[nH]1,1
2YB,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OCC3CC(=O)O)c1,1
2YM,Nc1nc(=O)c2cc3nc(NCCN4CCCCC4)[nH]c3cc2[nH]1,1
2YO,O=c1nc[nH]c2cc3[nH]c(NCCN4CCCCC4)nc3cc12,1
2YQ,Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,1
2ZM,O=[N+]([O-])c1ccc2[nH]cnc2c1,1
2ZW,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc(C(C)C)cc1,1
30M,CC(=O)NCCCCn1c2c(c3ccccc31)C(=O)NCC2,1
31O,COC(=O)C(C)C1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,1
31P,CCC(C(=O)OC)C1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,1
31V,COc1cc(-c2cn(CC(=O)Nc3cc(C4CC4)nn3-c3ccccc3)nn2)ccc1-n1cnc(C)c1,1
32A,CCCCC#Cc1ccc(C(=O)NNC(=S)NC)o1,1
33R,O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,1
34M,COc1ccc(-c2noc(CSc3nnc(C)n3-c3ccc(OC)cc3)n2)cc1,1
34W,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,1
35Q,CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,1
35R,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,1
36J,CC1CCCC(O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,1
36R,Nc1nc2cc(Cl)ccc2o1,1
